region 101 size= 127 color=java.awt.Color[r=49,g=39,b=72]
region 102 size= 125 color=java.awt.Color[r=63,g=97,b=47]
region 103 size= 125 color=java.awt.Color[r=74,g=113,b=53]
region 104 size= 122 color=java.awt.Color[r=39,g=55,b=42]
region 105 size= 122 color=java.awt.Color[r=54,g=43,b=77]
region 106 size= 120 color=java.awt.Color[r=41,g=31,b=48]
region 107 size= 120 color=java.awt.Color[r=29,g=40,b=31]
region 108 size= 120 color=java.awt.Color[r=95,g=141,b=74]
region 109 size= 117 color=java.awt.Color[r=78,g=114,b=68]
region 110 size= 117 color=java.awt.Color[r=101,g=157,b=88]
region 111 size= 117 color=java.awt.Color[r=32,g=47,b=33]
region 112 size= 117 color=java.awt.Color[r=34,g=30,b=55]
region 113 size= 116 color=java.awt.Color[r=58,g=84,b=54]
region 114 size= 116 color=java.awt.Color[r=51,g=76,b=36]
region 115 size= 114 color=java.awt.Color[r=55,g=71,b=49]
region 116 size= 114 color=java.awt.Color[r=121,g=176,b=96]
region 117 size= 114 color=java.awt.Color[r=32,g=42,b=37]
region 118 size= 114 color=java.awt.Color[r=70,g=102,b=52]
region 119 size= 112 color=java.awt.Color[r=42,g=75,b=36]
region 120 size= 112 color=java.awt.Color[r=87,g=129,b=60]
region 121 size= 111 color=java.awt.Color[r=108,g=158,b=86]
region 122 size= 109 color=java.awt.Color[r=108,g=164,b=92]
region 123 size= 109 color=java.awt.Color[r=40,g=62,b=35]
region 124 size= 109 color=java.awt.Color[r=37,g=37,b=68]
region 125 size= 108 color=java.awt.Color[r=96,g=140,b=82]
region 126 size= 106 color=java.awt.Color[r=43,g=67,b=40]
region 127 size= 106 color=java.awt.Color[r=69,g=102,b=58]
region 128 size= 106 color=java.awt.Color[r=83,g=120,b=76]
region 129 size= 106 color=java.awt.Color[r=66,g=52,b=88]
region 130 size= 105 color=java.awt.Color[r=77,g=66,b=109]
region 131 size= 104 color=java.awt.Color[r=86,g=127,b=74]
region 132 size= 103 color=java.awt.Color[r=83,g=142,b=75]
region 133 size= 103 color=java.awt.Color[r=19,g=18,b=36]
region 134 size= 102 color=java.awt.Color[r=67,g=103,b=54]
region 135 size= 102 color=java.awt.Color[r=103,g=153,b=82]
region 136 size= 100 color=java.awt.Color[r=56,g=84,b=48]
region 137 size= 98 color=java.awt.Color[r=79,g=117,b=75]
region 138 size= 98 color=java.awt.Color[r=20,g=18,b=43]
region 139 size= 97 color=java.awt.Color[r=58,g=81,b=51]
region 140 size= 97 color=java.awt.Color[r=85,g=125,b=70]
region 141 size= 97 color=java.awt.Color[r=36,g=61,b=29]
region 142 size= 96 color=java.awt.Color[r=23,g=21,b=47]
region 143 size= 95 color=java.awt.Color[r=250,g=253,b=251]
region 144 size= 93 color=java.awt.Color[r=252,g=253,b=250]
region 145 size= 93 color=java.awt.Color[r=77,g=117,b=61]
region 146 size= 93 color=java.awt.Color[r=94,g=155,b=81]
region 147 size= 93 color=java.awt.Color[r=117,g=171,b=83]
region 148 size= 92 color=java.awt.Color[r=51,g=87,b=41]
region 149 size= 91 color=java.awt.Color[r=25,g=27,b=49]
region 150 size= 90 color=java.awt.Color[r=99,g=149,b=81]
region 151 size= 90 color=java.awt.Color[r=84,g=125,b=81]
region 152 size= 89 color=java.awt.Color[r=63,g=113,b=52]
region 153 size= 88 color=java.awt.Color[r=69,g=108,b=53]
region 154 size= 88 color=java.awt.Color[r=33,g=40,b=48]
region 155 size= 87 color=java.awt.Color[r=82,g=126,b=61]
region 156 size= 87 color=java.awt.Color[r=105,g=165,b=87]
region 157 size= 87 color=java.awt.Color[r=106,g=153,b=86]
region 158 size= 87 color=java.awt.Color[r=87,g=131,b=80]
region 159 size= 85 color=java.awt.Color[r=79,g=115,b=74]
region 160 size= 85 color=java.awt.Color[r=111,g=161,b=76]
region 161 size= 84 color=java.awt.Color[r=122,g=180,b=93]
region 162 size= 84 color=java.awt.Color[r=73,g=111,b=50]
region 163 size= 83 color=java.awt.Color[r=43,g=82,b=40]
region 164 size= 83 color=java.awt.Color[r=10,g=11,b=10]
region 165 size= 83 color=java.awt.Color[r=55,g=102,b=50]
region 166 size= 83 color=java.awt.Color[r=252,g=253,b=249]
region 167 size= 82 color=java.awt.Color[r=43,g=44,b=57]
region 168 size= 82 color=java.awt.Color[r=95,g=140,b=79]
region 169 size= 82 color=java.awt.Color[r=66,g=63,b=70]
region 170 size= 82 color=java.awt.Color[r=107,g=156,b=91]
region 171 size= 82 color=java.awt.Color[r=88,g=133,b=82]
region 172 size= 82 color=java.awt.Color[r=252,g=253,b=251]
region 173 size= 81 color=java.awt.Color[r=47,g=56,b=60]
region 174 size= 81 color=java.awt.Color[r=22,g=21,b=50]
region 175 size= 80 color=java.awt.Color[r=62,g=81,b=63]
region 176 size= 80 color=java.awt.Color[r=65,g=88,b=65]
region 177 size= 79 color=java.awt.Color[r=75,g=107,b=65]
region 178 size= 78 color=java.awt.Color[r=130,g=190,b=102]
region 179 size= 78 color=java.awt.Color[r=17,g=25,b=17]
region 180 size= 77 color=java.awt.Color[r=15,g=14,b=20]
region 181 size= 77 color=java.awt.Color[r=41,g=81,b=36]
region 182 size= 76 color=java.awt.Color[r=22,g=36,b=25]
region 183 size= 76 color=java.awt.Color[r=113,g=167,b=89]
region 184 size= 76 color=java.awt.Color[r=48,g=88,b=41]
region 185 size= 75 color=java.awt.Color[r=43,g=67,b=36]
region 186 size= 75 color=java.awt.Color[r=100,g=163,b=84]
region 187 size= 74 color=java.awt.Color[r=81,g=129,b=76]
region 188 size= 74 color=java.awt.Color[r=127,g=183,b=91]
region 189 size= 73 color=java.awt.Color[r=86,g=130,b=77]
region 190 size= 73 color=java.awt.Color[r=92,g=155,b=78]
region 191 size= 73 color=java.awt.Color[r=87,g=129,b=67]
region 192 size= 72 color=java.awt.Color[r=54,g=85,b=43]
region 193 size= 72 color=java.awt.Color[r=31,g=42,b=31]
region 194 size= 72 color=java.awt.Color[r=18,g=15,b=26]
region 195 size= 72 color=java.awt.Color[r=41,g=63,b=34]
region 196 size= 72 color=java.awt.Color[r=65,g=99,b=43]
region 197 size= 71 color=java.awt.Color[r=45,g=66,b=32]
region 198 size= 71 color=java.awt.Color[r=42,g=83,b=37]
region 199 size= 71 color=java.awt.Color[r=126,g=183,b=85]
region 200 size= 70 color=java.awt.Color[r=86,g=121,b=74]
region 201 size= 70 color=java.awt.Color[r=66,g=89,b=58]
region 202 size= 70 color=java.awt.Color[r=71,g=94,b=65]
region 203 size= 70 color=java.awt.Color[r=80,g=120,b=77]
region 204 size= 70 color=java.awt.Color[r=70,g=91,b=68]
region 205 size= 70 color=java.awt.Color[r=112,g=165,b=92]
region 206 size= 70 color=java.awt.Color[r=132,g=193,b=105]
region 207 size= 69 color=java.awt.Color[r=77,g=114,b=64]
region 208 size= 69 color=java.awt.Color[r=64,g=90,b=65]
region 209 size= 69 color=java.awt.Color[r=127,g=184,b=107]
region 210 size= 69 color=java.awt.Color[r=65,g=114,b=57]
region 211 size= 68 color=java.awt.Color[r=66,g=53,b=75]
region 212 size= 68 color=java.awt.Color[r=28,g=28,b=34]
region 213 size= 68 color=java.awt.Color[r=31,g=46,b=22]
region 214 size= 68 color=java.awt.Color[r=47,g=44,b=77]
region 215 size= 68 color=java.awt.Color[r=50,g=94,b=45]
region 216 size= 68 color=java.awt.Color[r=101,g=147,b=66]
region 217 size= 67 color=java.awt.Color[r=55,g=49,b=63]
region 218 size= 67 color=java.awt.Color[r=44,g=71,b=41]
region 219 size= 67 color=java.awt.Color[r=91,g=133,b=61]
region 220 size= 66 color=java.awt.Color[r=136,g=202,b=112]
region 221 size= 66 color=java.awt.Color[r=73,g=122,b=66]
region 222 size= 66 color=java.awt.Color[r=33,g=58,b=30]
region 223 size= 66 color=java.awt.Color[r=32,g=34,b=59]
region 224 size= 66 color=java.awt.Color[r=67,g=102,b=45]
region 225 size= 65 color=java.awt.Color[r=65,g=94,b=55]
region 226 size= 65 color=java.awt.Color[r=89,g=134,b=74]
region 227 size= 65 color=java.awt.Color[r=78,g=129,b=67]
region 228 size= 65 color=java.awt.Color[r=52,g=92,b=45]
region 229 size= 65 color=java.awt.Color[r=80,g=132,b=88]
region 230 size= 64 color=java.awt.Color[r=49,g=44,b=65]
region 231 size= 64 color=java.awt.Color[r=73,g=119,b=68]
region 232 size= 64 color=java.awt.Color[r=40,g=37,b=48]
region 233 size= 64 color=java.awt.Color[r=16,g=24,b=15]
region 234 size= 64 color=java.awt.Color[r=63,g=103,b=56]
region 235 size= 64 color=java.awt.Color[r=100,g=163,b=87]
region 236 size= 63 color=java.awt.Color[r=250,g=252,b=250]
region 237 size= 63 color=java.awt.Color[r=36,g=38,b=66]
region 238 size= 62 color=java.awt.Color[r=86,g=130,b=78]
region 239 size= 62 color=java.awt.Color[r=120,g=178,b=99]
region 240 size= 62 color=java.awt.Color[r=88,g=149,b=80]
region 241 size= 62 color=java.awt.Color[r=78,g=137,b=66]
region 242 size= 61 color=java.awt.Color[r=94,g=144,b=85]
region 243 size= 61 color=java.awt.Color[r=51,g=83,b=44]
region 244 size= 61 color=java.awt.Color[r=75,g=130,b=62]
region 245 size= 60 color=java.awt.Color[r=33,g=26,b=37]
region 246 size= 60 color=java.awt.Color[r=86,g=141,b=77]
region 247 size= 60 color=java.awt.Color[r=52,g=93,b=47]
region 248 size= 60 color=java.awt.Color[r=11,g=15,b=14]
region 249 size= 60 color=java.awt.Color[r=102,g=161,b=108]
region 250 size= 59 color=java.awt.Color[r=69,g=100,b=58]
region 251 size= 59 color=java.awt.Color[r=98,g=82,b=126]
region 252 size= 59 color=java.awt.Color[r=103,g=154,b=88]
region 253 size= 59 color=java.awt.Color[r=87,g=136,b=70]
region 254 size= 59 color=java.awt.Color[r=67,g=110,b=62]
region 255 size= 59 color=java.awt.Color[r=28,g=48,b=27]
region 256 size= 59 color=java.awt.Color[r=49,g=77,b=38]
region 257 size= 59 color=java.awt.Color[r=86,g=142,b=89]
region 258 size= 59 color=java.awt.Color[r=101,g=149,b=70]
region 259 size= 59 color=java.awt.Color[r=61,g=98,b=69]
region 260 size= 58 color=java.awt.Color[r=69,g=98,b=68]
region 261 size= 58 color=java.awt.Color[r=58,g=99,b=65]
region 262 size= 57 color=java.awt.Color[r=21,g=29,b=40]
region 263 size= 56 color=java.awt.Color[r=78,g=116,b=65]
region 264 size= 56 color=java.awt.Color[r=110,g=163,b=90]
region 265 size= 56 color=java.awt.Color[r=97,g=156,b=79]
region 266 size= 56 color=java.awt.Color[r=130,g=182,b=103]
region 267 size= 56 color=java.awt.Color[r=37,g=63,b=31]
region 268 size= 56 color=java.awt.Color[r=106,g=158,b=76]
region 269 size= 55 color=java.awt.Color[r=24,g=25,b=28]
